label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
ball,710,418,15,14,left002001.png,1280,720
ball,715,419,16,15,left002002.png,1280,720
ball,716,422,15,14,left002003.png,1280,720
ball,717,423,15,15,left002004.png,1280,720
ball,720,428,15,14,left002005.png,1280,720
ball,719,431,18,18,left002006.png,1280,720
ball,723,438,16,15,left002007.png,1280,720
ball,722,442,18,16,left002008.png,1280,720
ball,723,446,19,16,left002009.png,1280,720
ball,725,451,18,16,left002010.png,1280,720
ball,728,438,17,16,left002011.png,1280,720
ball,731,429,14,15,left002012.png,1280,720
ball,732,421,16,14,left002013.png,1280,720
ball,733,414,17,14,left002014.png,1280,720
ball,734,406,17,16,left002015.png,1280,720
ball,735,402,17,14,left002016.png,1280,720
ball,736,395,17,12,left002017.png,1280,720
ball,739,391,16,15,left002018.png,1280,720
ball,742,387,13,15,left002019.png,1280,720
ball,743,382,13,15,left002020.png,1280,720
ball,744,380,11,10,left002021.png,1280,720
ball,745,377,13,14,left002022.png,1280,720
ball,744,375,16,14,left002023.png,1280,720
ball,745,374,15,14,left002024.png,1280,720
ball,746,371,16,14,left002025.png,1280,720
ball,747,371,16,14,left002026.png,1280,720
ball,751,370,13,14,left002027.png,1280,720
ball,749,369,15,15,left002028.png,1280,720
ball,751,368,15,14,left002029.png,1280,720
ball,753,370,13,12,left002030.png,1280,720
ball,754,369,13,15,left002031.png,1280,720
ball,754,370,14,13,left002032.png,1280,720
ball,755,371,13,14,left002033.png,1280,720
ball,757,373,12,13,left002034.png,1280,720
ball,756,373,14,14,left002035.png,1280,720
ball,757,374,13,14,left002036.png,1280,720
ball,756,376,15,14,left002037.png,1280,720
ball,757,378,15,14,left002038.png,1280,720
ball,759,380,14,13,left002039.png,1280,720
ball,759,382,15,13,left002040.png,1280,720
ball,761,384,10,13,left002041.png,1280,720
ball,762,386,13,15,left002042.png,1280,720
ball,764,390,14,13,left002043.png,1280,720
ball,769,393,11,14,left002044.png,1280,720
ball,771,395,13,14,left002045.png,1280,720
ball,772,400,16,13,left002046.png,1280,720
ball,776,403,16,15,left002047.png,1280,720
ball,782,408,13,15,left002048.png,1280,720
ball,785,412,13,15,left002049.png,1280,720
ball,789,420,13,12,left002050.png,1280,720
ball,795,426,10,12,left002051.png,1280,720
ball,797,430,14,14,left002052.png,1280,720
ball,801,435,13,16,left002053.png,1280,720
ball,802,443,17,12,left002054.png,1280,720
ball,810,451,13,12,left002055.png,1280,720
ball,812,457,14,15,left002056.png,1280,720
ball,818,467,11,12,left002057.png,1280,720
ball,821,475,14,12,left002058.png,1280,720
ball,827,487,10,8,left002059.png,1280,720
ball,830,496,13,11,left002060.png,1280,720
ball,834,507,15,12,left002061.png,1280,720
ball,839,511,16,14,left002062.png,1280,720
ball,841,504,16,15,left002063.png,1280,720
ball,845,497,17,16,left002064.png,1280,720
ball,847,494,18,11,left002065.png,1280,720
ball,852,483,18,16,left002066.png,1280,720
ball,856,479,16,15,left002067.png,1280,720
ball,860,473,16,16,left002068.png,1280,720
ball,865,467,15,12,left002069.png,1280,720
ball,870,462,14,13,left002070.png,1280,720
ball,873,457,14,11,left002071.png,1280,720
ball,877,452,15,12,left002072.png,1280,720
ball,883,447,14,11,left002073.png,1280,720
ball,886,443,13,11,left002074.png,1280,720
ball,892,438,11,13,left002075.png,1280,720
ball,896,435,12,11,left002076.png,1280,720
ball,900,430,14,12,left002077.png,1280,720
ball,905,426,14,13,left002078.png,1280,720
ball,910,424,14,12,left002079.png,1280,720
ball,916,421,12,13,left002080.png,1280,720
ball,920,418,13,12,left002081.png,1280,720
ball,922,415,18,16,left002082.png,1280,720
ball,930,415,15,14,left002083.png,1280,720
ball,935,412,15,14,left002084.png,1280,720
ball,942,411,15,13,left002085.png,1280,720
ball,943,409,18,17,left002086.png,1280,720
ball,953,411,15,15,left002087.png,1280,720
ball,959,410,16,16,left002088.png,1280,720
ball,967,411,14,13,left002089.png,1280,720
ball,971,410,15,15,left002090.png,1280,720
ball,978,412,16,16,left002091.png,1280,720
ball,987,412,14,16,left002092.png,1280,720
ball,991,416,18,16,left002093.png,1280,720
ball,1000,417,15,14,left002094.png,1280,720
ball,1006,421,18,16,left002095.png,1280,720
ball,1015,428,16,13,left002096.png,1280,720
ball,1026,430,16,15,left002097.png,1280,720
ball,1033,435,17,17,left002098.png,1280,720
ball,1043,441,16,14,left002099.png,1280,720
ball,1050,449,17,15,left002100.png,1280,720
